word,level
casado,A1
terraza,A1
musulmán,A1
piso,A1
ir en metro,A1
escuchar una canción,A1
presidente,A1
familia,A1
reina,A1
bombero,A1
lugar de nacimiento,A1
oficina de turismo,A1
teléfono móvil,A1
museo,A1
monumento,A1
dedicarse a,A1
ir en taxi,A1
profesor,A1
llover,A1
ventana,A1
hablar,A1
jugar al fútbol,A1
estación de autobuses,A1
sillón,A1
hacer gimnasia,A1
plano,A1
ir a clase,A1
libro,A1
llevar bigote,A1
céntimo de euro,A1
apartamento,A1
ascensor,A1
pueblo,A1
céntimo,A1
lápiz,A1
hijo,A1
invierno,A1
coche,A1
hacer viento,A1
habitación,A1
agua mineral sin gas,A1
chico,A1
bailar,A1
planta,A1
sofá,A1
billete,A1
nacionalidad,A1
página,A1
escribir,A1
vino blanco,A1
nevar,A1
tener los ojos azules,A1
carné de identidad,A1
el menú,A1
móvil,A1
mercado,A1
tener ascensor,A1
tímido,A1
sobre,A1
marroquí,A1
tarjeta,A1
pizarra,A1
verano,A1
reloj,A1
dinero,A1
firmar,A1
Oeste,A1
cine,A1
centro comercial,A1
pan,A1
pantalones,A1
tener calefacción,A1
televisión,A1
bañarse,A1
leer el periódico,A1
turista,A1
ser de Bali,A1
ir en tren,A1
edificio,A1
escuchar la radio,A1
tener trabajo,A1
entender,A1
hacer los deberes,A1
autobús,A1
campo,A1
novio,A1
ir a un concierto,A1
hermano,A1
escribir una carta,A1
ojo,A1
parque,A1
escribir una postal,A1
leer una revista,A1
viajar en barco,A1
budista,A1
hacer calor,A1
vino tinto,A1
enfermero,A1
pregunta,A1
llamarse,A1
actor,A1
ir a un restaurante,A1
ver una película,A1
piso interior,A1
nieto,A1
barato,A1
agua sin gas,A1
lavarse las manos,A1
mesa,A1
ordenador,A1
Norte,A1
restaurante,A1
ir a una discoteca,A1
separado,A1
hacer una actividad,A1
tren,A1
clase de matemáticas,A1
parada de taxis,A1
oficina de información,A1
lección,A1
campin,A1
papel,A1
teatro,A1
beber,A1
correo electrónico,A1
mapa,A1
cartera,A1
escuchar música,A1
ir andando,A1
tener los ojos marrones,A1
conductor,A1
alegre,A1
señor,A1
pagar con tarjeta,A1
señora,A1
tener los ojos grandes,A1
chica,A1
viajar,A1
hacer un examen,A1
llaves,A1
viejo,A1
televisión TV,A1
agua con gas,A1
español,A1
concierto,A1
apellido,A1
puerto,A1
cocina,A1
comprar un apartamento,A1
juego,A1
ir en coche,A1
café con leche,A1
jersey,A1
religión,A1
ir en autobús,A1
jabón,A1
viajar en avión,A1
simpático,A1
carne,A1
camarero,A1
trabajar,A1
tener gafas,A1
estar malo,A1
piso exterior,A1
lavarse la cara,A1
tarjeta de crédito,A1
silla,A1
abogado,A1
judío,A1
ser feo,A1
japonés,A1
ir a Madrid,A1
iglesia,A1
hacer deporte,A1
guión bajo,A1
ser de Laos,A1
segundo apellido,A1
bar,A1
médico,A1
ser moreno,A1
comprar,A1
falda,A1
dormitorio,A1
vivir,A1
ser rubio,A1
hotel,A1
trabajo,A1
farmacia,A1
ir al teatro,A1
tener vacaciones,A1
tener los ojos negros,A1
teléfono,A1
vender un piso,A1
metro,A1
leer un periódico,A1
compañero de juego,A1
ir a la mezquita,A1
tener el pelo moreno,A1
primer plato,A1
carta,A1
ser alto,A1
comprar un billete de ida,A1
niña,A1
alquilar un piso,A1
foto,A1
postal,A1
clase de español,A1
postre,A1
vivir en un apartamento,A1
árbol,A1
fecha de nacimiento,A1
tener teléfono,A1
esquiar,A1
té,A1
pasaporte,A1
montaña,A1
número,A1
compañero,A1
levantarse,A1
zapatos,A1
estar enfermo,A1
ir al circo,A1
arroba,A1
Sur,A1
vídeo,A1
fax,A1
repetir,A1
tener los ojos oscuros,A1
calle,A1
padre,A1
bocadillo,A1
ir a la sinagoga,A1
rey,A1
hacer ejercicio,A1
playa,A1
ver la televisión,A1
comprender,A1
pescado,A1
aprender,A1
mal comunicado,A1
paella,A1
leche,A1
lavarse el pelo,A1
cambiar dinero,A1
café solo,A1
aeropuerto,A1
madre,A1
radio,A1
ir al cine,A1
tener aire acondicionado,A1
actividad,A1
jugar al tenis,A1
ser trabajador,A1
colegio,A1
primer apellido,A1
joven,A1
sardina,A2
tener dolor de espalda,A2
reservar un billete de tren,A2
pájaro,A2
carne de cordero,A2
castillo,A2
media pensión,A2
recibir,A2
maletín,A2
sombrero,A2
responder una postal,A2
CD-ROM,A2
parque zoológico,A2
ver un programa de televisión,A2
restaurante italiano,A2
paquete de arroz,A2
cámara de fotos,A2
tener planes,A2
suelo,A2
mundo,A2
frutero,A2
tienda de de deportes,A2
tienda de de discos,A2
cordero,A2
andar,A2
publicidad,A2
tener sueño,A2
pedir el plato del día,A2
viajar en autobús,A2
completar,A2
pijama,A2
mosca,A2
carretera,A2
fotocopiadora,A2
apellidarse,A2
adivinar,A2
exposición,A2
tarjeta de la biblioteca,A2
perro,A2
zoo,A2
tomar el metro,A2
canción,A2
sucio,A2
ciudad cosmopolita,A2
tener calor,A2
tecnología,A2
salmón,A2
coger el avión,A2
coger un taxi,A2
hacer la compra,A2
tener rizado,A2
devolver,A2
compañero de trabajo,A2
traer la carta,A2
cuento,A2
botas de montaña,A2
mandar un mensaje electrónico,A2
crema,A2
chat,A2
Ramadán,A2
príncipe,A2
hoja,A2
probador,A2
hacer fotos,A2
tener frío,A2
